solver,problem,restarts,conflicts,decisions,propagations,conf_lits,num_ev,ev_decisions,ev_conflicts,ev_learnt,total_lbd,mem_used,cpu_time,er_time,satisfiability
maplesat,/scratch/jt2chung/parameters_of_industiral/agile/2016/bench_3325.smt2_maplesat_preprocess.cnf,1023,468866,911949,398094786,26735309,0,0,0,0,11591698,43,99.4997,0.000398,SATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha256_preimage_two_operand/rounds56_maplesat_preprocess.cnf,16383,10689266,49076788,9890816197,1696644412,0,0,0,0,557099809,212,4946.73,0.004725,INDETERMINATE
maplesat,/scratch/jt2chung/parameters_of_industiral/agile/2016/bench_1193.smt2_maplesat_preprocess.cnf,2047,1078992,1823714,1358979017,88076087,0,0,0,0,39780239,45,352.124,0.000627,SATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/agile/2017/bench_2584.smt2_maplesat_preprocess.cnf,1023,506508,920291,553674505,33602723,0,0,0,0,13950171,36,155.266,0.000435,SATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/verification/hwmcc19/aig/beem/cambridge.7.prop2-back-serstep.aig_unroll17_maplesat_preprocess.cnf,7962,4443253,7898563,9611897744,643404909,0,0,0,0,99882525,172,4947.63,0.001727,INDETERMINATE
maplesat,/scratch/jt2chung/parameters_of_industiral/agile/2017/bench_4677.smt2_maplesat_preprocess.cnf,1023,474179,875830,428512657,30579833,0,0,0,0,13427465,29,101.932,0.000195,SATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/crafted/cnfgen/tseitin/tseitin_76_15_grid_maplesat_preprocess.cnf,262143,232379263,627530100,1589667767,11181599874,0,0,0,0,10084313647,915,4926.75,0.009877,INDETERMINATE
maplesat,/scratch/jt2chung/parameters_of_industiral/agile/2017/bench_7247.smt2_maplesat_preprocess.cnf,17,3401,9052,140675,30475,0,0,0,0,20940,12,0.051746,4.00E-06,UNSATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/crafted/cnfgen/tseitin/tseitin_79_72_grid_maplesat_preprocess.cnf,254389,205511078,2343845673,5384679112,11755025597,0,0,0,0,10364915021,1753,4921.69,0.008961,INDETERMINATE
maplesat,/scratch/jt2chung/parameters_of_industiral/verification/hwmcc19/aig/mann/data-integrity/unsafe/arbitrated_top_n2_w8_d128_e0.aig_unroll9_maplesat_preprocess.cnf,8,1245,2423,650840,19305,0,0,0,0,6971,20,0.189298,0,UNSATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/agile/2016/bench_17850.smt2_maplesat_preprocess.cnf,725,299496,384605,29242138,6404548,0,0,0,0,3201257,24,13.9938,0.000142,UNSATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha1_preimage_dot_matrix_restricted/round24_restrict450_maplesat_preprocess.cnf,63,16483,23564,3029138,262848,0,0,0,0,125534,12,1.00735,2.40E-05,SATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/verification/hwmcc19/aig/wolf/2018D/picorv32-pcregs-p2.aig_unroll22_maplesat_preprocess.cnf,4095,2340922,14996159,1247720801,65520190,0,0,0,0,24756860,66,355.02,0.000455,UNSATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha1_preimage_counter_chain_restricted/round40_restrict490_maplesat_preprocess.cnf,4095,2279225,2816534,4058876185,126823021,0,0,0,0,32300778,43,1531.8,0.000703,SATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/crafted/cnfgen/tseitin/tseitin_73_30_grid_maplesat_preprocess.cnf,1,0,2088,4185,0,0,0,0,0,0,12,0.007053,0,SATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/verification/hwmcc19/aig/mann/data-integrity/unsafe/shift_register_top_w64_d8_e0.aig_unroll21_maplesat_preprocess.cnf,94,26903,293375,8970160,551471,0,0,0,0,280849,18,2.26169,2.80E-05,SATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/crafted/polynomial_multiplication_2018/Nb8T60_maplesat_preprocess.cnf,19452,13065824,42879527,12177796937,3817008089,0,0,0,0,2834906255,389,4938.99,0.001555,INDETERMINATE
maplesat,/scratch/jt2chung/parameters_of_industiral/crafted/cnfgen/tseitin/tseitin_37_27_grid_maplesat_preprocess.cnf,1,0,935,1873,0,0,0,0,0,0,11,0.003494,0,SATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha1_preimage_dot_matrix_restricted/round72_restrict495_maplesat_preprocess.cnf,510,197935,1376628,518838564,6064310,0,0,0,0,2175875,24,219.63,0.000343,SATISFIABLE
