solver,problem,restarts,conflicts,decisions,propagations,conf_lits,num_ev,ev_decisions,ev_conflicts,ev_learnt,total_lbd,mem_used,cpu_time,er_add_time,er_delC_time,er_delV_time,er_sub_time,satisfiability
maplelcm,/scratch/jt2chung/sat2020/tseitingrid7x185_shuffled.cnf,1351995,273756202,1157820748,2272816047,8267929118,0,0,0,0,,956,4899.46,0,0,0,0,UNKNOWN
maplelcm,/scratch/jt2chung/sat2020/course0.2_2018_3-sc2018.cnf,1174,493534,14729125,3027231050,79066278,0,0,0,0,,795,2468.78,0,0,0,0,SATISFIABLE
maplelcm,/scratch/jt2chung/sat2020/DLTM_twitter690_74_15.cnf,14221,5807289,16201407,14265467554,263065795,0,0,0,0,,170,4988.74,0,0,0,0,UNKNOWN
maplelcm,/scratch/jt2chung/sat2020/abw-Q-494_bus.mtx-w242.cnf,9336,6523297,76509766,17384250950,1181825852,0,0,0,0,,4122,4985.61,0,0,0,0,UNKNOWN
maplelcm,/scratch/jt2chung/sat2020/ssAES_4-4-8_round_8-10_faultAt_8_fault_injections_2_seed_1579630418.cnf,81133,17974222,33892360,10925611426,628775730,0,0,0,0,,281,4982.27,0,0,0,0,UNKNOWN
maplelcm,/scratch/jt2chung/sat2020/baseballcover12with23_and2positions.cnf,1196,269342,35490165,7749218651,3754567,0,0,0,0,,1708,4988.11,0,0,0,0,UNKNOWN
maplelcm,/scratch/jt2chung/sat2020/combined-crypto1-wff-seed-3-wffvars-450-cryptocplx-40-overlap-2.cnf,38591,24898633,29749673,1448870861,547309728,0,0,0,0,,171,3684.41,0,0,0,0,SATISFIABLE
maplelcm,/scratch/jt2chung/sat2020/6g_5color_170_020_04.cnf,157025,16908059,91498162,8056337348,3085705047,0,0,0,0,,273,4986.59,0,0,0,0,UNKNOWN
maplelcm,/scratch/jt2chung/sat2020/newpol7-6.cnf,2206,1514780,14365223,2411248091,56362497,0,0,0,0,,202,539.235,0,0,0,0,UNSATISFIABLE
maplelcm,/scratch/jt2chung/sat2020/3bitadd_32.cnf.gz.CP3-cnfmiter.cnf,1409,202218,56241657,318654232,994860851,0,0,0,0,,4738,326.27,0,0,0,0,UNSATISFIABLE
maplelcm,/scratch/jt2chung/sat2020/dislog_a19_x19_n29.cnf,29677,9116378,13767564,3592183423,231617299,0,0,0,0,,221,4989.44,0,0,0,0,UNKNOWN
maplelcm,/scratch/jt2chung/sat2020/combined-crypto1-wff-seed-110-wffvars-500-cryptocplx-31-overlap-2.cnf,46168,35049100,41734019,2176043936,846971237,0,0,0,0,,180,4973.53,0,0,0,0,UNKNOWN
maplelcm,/scratch/jt2chung/sat2020/grain-55-80-0s0-seed-125-45-init-40.cnf,4535,4146227,4471334,809892710,74146171,0,0,0,0,,67,551.499,0,0,0,0,UNSATISFIABLE
maplelcm,/scratch/jt2chung/sat2020/dislog_a09_x11_n20.cnf,3343,1646833,3300449,684464687,34880262,0,0,0,0,,94,378.396,0,0,0,0,SATISFIABLE
maplelcm,/scratch/jt2chung/sat2020/mp1-blockpuzzle_5x10_s7_free4.cnf,1682,487277,876502,70989167,70862939,0,0,0,0,,116,132.549,0,0,0,0,UNSATISFIABLE
maplelcm,/scratch/jt2chung/sat2020/baseballcover12with25_and5positions.cnf,1015,222656,35933796,7116664641,3039171,0,0,0,0,,1693,4988.18,0,0,0,0,UNKNOWN
maplelcm,/scratch/jt2chung/sat2020/170153306.cnf,7212,5774605,6806285,280767349,145147615,0,0,0,0,,80,610.128,0,0,0,0,SATISFIABLE
maplelcm,/scratch/jt2chung/sat2020/ps_200_316_70.cnf,1192,476188,23419262,249766196,8812823,0,0,0,0,,323,94.3996,0,0,0,0,UNSATISFIABLE
maplelcm,/scratch/jt2chung/sat2020/abw-I-ash85.mtx-w25.cnf,21412,20372510,26784147,15608287041,1007708582,0,0,0,0,,217,4980.96,0,0,0,0,UNKNOWN
maplelcm,/scratch/jt2chung/sat2020/vlsat2_24450_2770239.dimacs.cnf,341,62517,4482040,13262899,73019639,0,0,0,0,,417,44.6261,0,0,0,0,SATISFIABLE
maplelcm,/scratch/jt2chung/sat2020/Steiner-729-113-bce.cnf,62489,17329898,209497075,20247432569,722735363,0,0,0,0,,458,4970.51,0,0,0,0,UNKNOWN
maplelcm,/scratch/jt2chung/sat2020/combined-crypto1-wff-seed-133-wffvars-500-cryptocplx-31-overlap-2.cnf,38645,33068359,39249892,2082031449,823839671,0,0,0,0,,172,4975.29,0,0,0,0,UNKNOWN
maplelcm,/scratch/jt2chung/sat2020/Timetable_C_392_E_50_Cl_26_S_26.cnf,58986,8737924,239931395,4631200359,1088971266,0,0,0,0,,611,1524.19,0,0,0,0,SATISFIABLE
maplelcm,/scratch/jt2chung/sat2020/QG7a-gensys-ukn009.sat05-3849.reshuffled-07.cnf,6618,4633082,7615882,367355301,140040077,0,0,0,0,,106,909.618,0,0,0,0,UNSATISFIABLE
maplelcm,/scratch/jt2chung/sat2020/ACG-15-10p1.cnf,822,334046,11696470,3465674293,84709538,0,0,0,0,,342,898.549,0,0,0,0,SATISFIABLE
maplelcm,/scratch/jt2chung/sat2020/sv-comp19_prop-reachsafety.newton_2_2_true-unreach-call_true-termination.i-witness.cnf,771,273486,10956229,666194117,22323659,0,0,0,0,,164,266.163,0,0,0,0,UNSATISFIABLE
maplelcm,/scratch/jt2chung/sat2020/Timetable_C_392_E_50_Cl_26_S_28.cnf,4496,706424,148351477,725090224,85581902,0,0,0,0,,425,176.956,0,0,0,0,SATISFIABLE
maplelcm,/scratch/jt2chung/sat2020/Steiner-135-32-bce.cnf,137149,42144860,57200037,8872652602,1137557933,0,0,0,0,,195,4973.67,0,0,0,0,UNKNOWN
maplelcm,/scratch/jt2chung/sat2020/sted5_0x0-157.cnf,9657,3869007,5463218,659813901,147339850,0,0,0,0,,90,743.773,0,0,0,0,SATISFIABLE
maplelcm,/scratch/jt2chung/sat2020/ncc_none_12477_5_3_3_1_0_435991723.cnf,1421,616111,5052214552,9030288149,2253981,0,0,0,0,,653,3932.04,0,0,0,0,SATISFIABLE
maplelcm,/scratch/jt2chung/sat2020/w16-6a.cnf,24538,14896815,18813187,2674810085,672896706,0,0,0,0,,183,4979.63,0,0,0,0,UNKNOWN
maplelcm,/scratch/jt2chung/sat2020/abw-K-dwt__234.mtx-w55.cnf,15162,9827788,16011364,10063265591,593549651,0,0,0,0,,238,4035.96,0,0,0,0,UNSATISFIABLE
maplelcm,/scratch/jt2chung/sat2020/ps_200_300_70.cnf,2304,667019,40593593,794050058,12705449,0,0,0,0,,390,334.842,0,0,0,0,UNSATISFIABLE
